pair;round;nrTurns;success
0;0;7;true
0;1;7;false
0;2;7;true
0;3;1;false
0;4;1;true
0;5;1;false
1;0;7;true
1;1;7;false
1;2;7;false
1;3;1;false
1;4;1;false
1;5;1;true
2;0;7;true
2;1;7;false
2;2;7;true
2;3;2;false
2;4;1;false
2;5;1;false
3;0;7;false
3;1;7;true
3;2;7;true
3;3;2;false
3;4;1;true
3;5;1;false
4;0;7;false
4;1;7;false
4;2;7;true
4;3;2;false
4;4;1;true
4;5;1;false
5;0;7;true
5;1;7;true
5;2;7;false
5;3;1;false
5;4;1;true
5;5;1;false
6;0;7;true
6;1;7;true
6;2;7;false
6;3;1;false
6;4;1;false
6;5;1;false
7;0;7;false
7;1;7;true
7;2;7;false
7;3;1;true
7;4;1;true
7;5;1;false
8;0;7;true
8;1;7;false
8;2;7;false
8;3;1;false
8;4;1;false
8;5;1;false
9;0;7;false
9;1;7;false
9;2;7;false
9;3;1;false
9;4;1;false
9;5;1;false
10;0;7;true
10;1;7;true
10;2;7;false
10;3;1;false
10;4;1;false
10;5;1;false
11;0;7;true
11;1;7;true
11;2;7;false
11;3;1;true
11;4;1;false
11;5;1;false
12;0;6;true
12;1;1;true
12;2;2;false
12;3;7;false
12;4;7;false
12;5;1;false
13;0;4;true
13;1;7;true
13;2;7;false
13;3;4;false
13;4;1;true
13;5;1;true
14;0;7;true
14;1;5;true
14;2;7;true
14;3;3;false
14;4;1;false
14;5;1;true
15;0;5;true
15;1;2;true
15;2;2;true
15;3;1;true
15;4;7;false
15;5;7;false
16;0;7;false
16;1;7;true
16;2;7;true
16;3;1;false
16;4;1;true
16;5;1;false
17;0;4;true
17;1;7;true
17;2;7;false
17;3;4;false
17;4;1;false
17;5;1;false
18;0;6;true
18;1;1;true
18;2;7;false
18;3;7;false
18;4;2;true
18;5;1;true
19;0;7;true
19;1;7;false
19;2;7;true
19;3;1;true
19;4;1;false
19;5;1;true
20;0;5;false
20;1;1;true
20;2;7;false
20;3;7;false
20;4;3;false
20;5;1;false
21;0;7;false
21;1;7;false
21;2;3;false
21;3;5;true
21;4;1;true
21;5;1;false
22;0;7;true
22;1;7;false
22;2;7;false
22;3;1;false
22;4;1;true
22;5;1;false
23;0;7;false
23;1;7;true
23;2;7;false
23;3;1;false
23;4;1;false
23;5;1;false
24;0;7;true
24;1;7;false
24;2;7;true
24;3;2;false
24;4;1;true
24;5;1;true
25;0;7;false
25;1;7;false
25;2;7;false
25;3;2;false
25;4;1;false
25;5;1;false
26;0;7;true
26;1;1;false
26;2;1;true
26;3;4;true
26;4;1;true
26;5;1;true
27;0;5;true
27;1;1;true
27;2;7;true
27;3;7;false
27;4;4;false
27;5;1;false
28;0;7;true
28;1;7;true
28;2;7;false
28;3;1;false
28;4;1;false
28;5;1;false
29;0;7;false
29;1;7;true
29;2;7;true
29;3;2;true
29;4;1;true
29;5;1;true
30;0;7;true
30;1;7;false
30;2;7;false
30;3;1;true
30;4;2;true
30;5;1;true
31;0;7;true
31;1;7;false
31;2;7;true
31;3;1;false
31;4;1;false
31;5;1;true
32;0;7;false
32;1;7;false
32;2;7;true
32;3;1;false
32;4;1;true
32;5;1;false
33;0;7;false
33;1;7;false
33;2;7;false
33;3;1;false
33;4;1;true
33;5;1;false
34;0;7;true
34;1;7;true
34;2;7;true
34;3;1;false
34;4;1;true
34;5;1;false
35;0;7;true
35;1;7;true
