pair;round;nrTurns;success
0;0;2;true
0;1;4;true
0;2;7;false
0;3;7;true
0;4;3;true
0;5;1;false
1;0;7;false
1;1;7;false
1;2;7;false
1;3;2;false
1;4;1;false
1;5;1;false
2;0;7;false
2;1;7;true
2;2;7;true
2;3;1;false
2;4;1;false
2;5;1;true
3;0;7;true
3;1;7;true
3;2;7;true
3;3;5;true
3;4;1;false
3;5;1;true
4;0;3;true
4;1;4;false
4;2;1;true
4;3;1;true
4;4;7;true
4;5;2;true
5;0;7;true
5;1;7;false
5;2;7;true
5;3;1;false
5;4;1;false
5;5;1;false
6;0;7;false
6;1;7;false
6;2;7;true
6;3;1;false
6;4;1;true
6;5;1;false
7;0;7;false
7;1;7;false
7;2;7;true
7;3;2;false
7;4;1;true
7;5;1;false
8;0;4;true
8;1;7;true
8;2;7;true
8;3;4;true
8;4;1;false
8;5;1;false
9;0;7;false
9;1;7;true
9;2;7;false
9;3;1;true
9;4;1;false
9;5;1;false
10;0;7;false
10;1;7;false
10;2;7;false
10;3;1;false
10;4;1;false
10;5;1;false
11;0;7;true
11;1;7;true
11;2;7;true
11;3;1;false
11;4;1;false
11;5;1;true
12;0;2;true
12;1;6;true
12;2;7;true
12;3;7;true
12;4;1;false
12;5;1;true
13;0;3;false
13;1;3;true
13;2;7;true
13;3;7;true
13;4;3;false
13;5;1;false
14;0;7;true
14;1;7;false
14;2;7;true
14;3;1;false
14;4;1;false
14;5;1;false
15;0;7;true
15;1;7;false
15;2;1;false
15;3;7;true
15;4;1;true
15;5;1;false
16;0;3;true
16;1;7;false
16;2;7;true
16;3;5;false
16;4;1;true
16;5;1;false
17;0;4;true
17;1;7;true
17;2;7;false
17;3;4;false
17;4;1;true
17;5;1;false
18;0;7;false
18;1;7;false
18;2;5;true
18;3;1;true
18;4;3;false
18;5;1;true
19;0;7;false
19;1;7;false
19;2;7;true
19;3;1;false
19;4;1;true
19;5;1;false
20;0;7;true
20;1;7;false
20;2;7;true
20;3;3;false
20;4;1;true
20;5;1;true
21;0;3;true
21;1;1;true
21;2;1;true
21;3;7;false
21;4;7;true
21;5;5;true
22;0;7;false
22;1;7;true
22;2;7;true
22;3;1;true
22;4;1;true
22;5;1;true
