pair;round;nrTurns;success
58;0;7;true
58;1;7;true
58;2;7;false
58;3;1;true
58;4;1;false
58;5;1;false
59;0;7;false
59;1;7;false
59;2;7;false
59;3;2;false
59;4;1;false
59;5;1;false
60;0;2;true
60;1;3;true
60;2;1;true
60;3;1;true
60;4;1;true
60;5;7;false
61;0;2;true
61;1;7;true
61;2;7;true
61;3;6;true
61;4;1;false
61;5;1;false
62;0;2;true
62;1;7;true
62;2;7;true
62;3;6;false
62;4;1;false
62;5;1;false
63;0;2;true
63;1;1;true
63;2;4;true
63;3;1;true
63;4;2;true
63;5;1;true
64;0;2;true
64;1;7;false
64;2;7;false
64;3;6;false
64;4;1;false
64;5;1;false
65;0;7;false
65;1;7;true
65;2;7;false
65;3;1;false
65;4;1;false
65;5;1;true
66;0;7;false
66;1;7;true
66;2;7;false
66;3;1;false
66;4;1;true
66;5;1;false
67;0;5;false
67;1;2;true
67;2;7;false
67;3;3;true
67;4;6;false
67;5;1;false
68;0;7;false
68;1;7;false
68;2;7;true
68;3;1;false
68;4;1;true
68;5;1;false
69;0;7;false
69;1;7;false
69;2;7;false
69;3;1;false
69;4;1;false
69;5;1;true
70;0;2;true
70;1;5;true
70;2;7;false
70;3;7;false
70;4;2;true
70;5;1;true
71;0;7;true
71;1;1;true
71;2;1;true
71;3;2;false
71;4;1;false
71;5;1;true
72;0;2;true
72;1;1;true
72;2;1;true
72;3;7;true
72;4;7;true
72;5;5;true
73;0;2;true
73;1;1;true
73;2;7;true
73;3;7;true
73;4;6;false
73;5;1;false
74;0;6;true
74;1;2;true
74;2;1;true
74;3;7;true
74;4;7;false
74;5;1;true
75;0;7;true
75;1;7;false
75;2;7;false
75;3;1;true
75;4;1;false
75;5;1;false
76;0;5;true
76;1;7;false
76;2;6;true
76;3;1;true
76;4;4;false
76;5;1;false
77;0;7;false
77;1;7;false
77;2;7;true
77;3;1;false
77;4;1;false
77;5;1;true
78;0;2;true
78;1;7;true
78;2;7;false
78;3;6;true
78;4;1;false
78;5;1;false
79;0;7;true
79;1;7;false
79;2;7;false
79;3;1;true
79;4;1;false
79;5;1;false
80;0;2;true
80;1;1;true
80;2;7;true
80;3;7;true
80;4;6;false
80;5;1;false
81;0;4;true
81;1;1;true
81;2;7;false
81;3;7;true
81;4;4;true
81;5;1;true
82;0;7;true
82;1;3;true
82;2;1;true
82;3;7;false
82;4;5;true
82;5;1;false
83;0;5;false
83;1;7;true
83;2;6;true
83;3;2;true
83;4;3;false
83;5;1;false
84;0;7;false
84;1;1;true
84;2;3;false
84;3;7;false
84;4;5;false
84;5;1;false
85;0;5;true
85;1;7;false
85;2;7;false
85;3;3;false
85;4;1;true
85;5;1;false
86;0;2;true
86;1;4;true
86;2;2;true
86;3;1;true
86;4;1;true
86;5;7;false
87;0;2;false
87;1;7;false
87;2;7;true
87;3;6;false
87;4;1;false
87;5;1;false
88;0;2;true
88;1;7;false
88;2;2;true
88;3;1;false
88;4;7;false
88;5;5;true
89;0;2;false
89;1;1;true
89;2;7;false
89;3;7;false
89;4;6;true
89;5;1;false
90;0;2;true
90;1;3;false
90;2;1;true
90;3;7;false
90;4;7;false
90;5;4;false
91;0;7;false
91;1;4;true
91;2;7;false
91;3;4;false
91;4;1;false
91;5;1;true
92;0;2;true
92;1;4;true
92;2;1;true
92;3;1;false
92;4;1;true
92;5;1;true
93;0;2;true
93;1;1;true
93;2;1;true
93;3;1;true
93;4;1;true
93;5;2;false
94;0;3;true
94;1;1;true
94;2;1;true
94;3;2;true
94;4;1;true
94;5;1;true
95;0;4;true
95;1;1;true
95;2;1;false
95;3;1;true
95;4;1;true
95;5;1;false
96;0;3;true
96;1;7;false
96;2;7;false
96;3;5;false
96;4;1;true
96;5;1;true
97;0;7;true
97;1;7;true
97;2;7;true
97;3;1;true
97;4;1;true
97;5;1;false
98;0;2;true
98;1;2;true
98;2;1;false
98;3;1;true
98;4;1;true
98;5;1;true
99;0;5;true
99;1;1;false
99;2;1;true
99;3;5;true
99;4;1;false
99;5;7;true
