pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;S4;S4;S4;S4;NA;1.4140630450052718920776799341633038;5.8348650015428552410139169671405546052594509074847224001307875332062488928;5.8348650015428552410139169671405546052594509074847224001307875332062488928;0E-75;0E-75
0;0;0;S4;S4;R2;S1;1.4140630450052718920776799341633038;1.4880239141344883184353592966180138;5.8348650015428552410139169671405546052594509074847224001307875332062488928;4.21386158380400888716480152051518893889328241974052154710202454068697302;3.5065159325759385875615844375353599832451193433949559505505692902837588623;1.1667177159001254135914258770211298540356741879257023271570719579986215263
0;0;1;S4;S1;S4;I understand;1.2483128815914619017485508749382593;0.41077417430221895434981301361982009;4.21386158380400888716480152051518893889328241974052154710202454068697302;2.341183092887061891070213873612358153264945475257807750523884641760280;1.2055777135941235111053641730000661266650920350106161464312338671299620425;1.5203239007035665874503448332775562420314015586268104412021514831078436554
0;1;0;R1;S3;R1;S2;NA;1.1475092881521092990454610501252007;2.341183092887061891070213873612358153264945475257807750523884641760280;2.341183092887061891070213873612358153264945475257807750523884641760280;0E-71;0E-71
0;1;0;R1;S2;R1;S2;1.2244478230902159136031481550448868;0.8888837886593031542716735207268030;2.341183092887061891070213873612358153264945475257807750523884641760280;3.55272632509831777416079704470151190734243640108214083563882334508;1.40242718286596730924584224601305327442586346550298347504937830307290;1.645133165791482523127682564894213622082627258810543882470837083326
0;1;1;R1;S2;R1;I understand;0.8888837886593031542716735207268030;0.26521000110613738481803751876456675;3.55272632509831777416079704470151190734243640108214083563882334508;1.435528739780325223151131766201937585296796793469910901684175250;2.09861886237405459302414165357515122643064765501738059097362085261;0.68671199391295353837132722721053372211983951612580099865939773057
0;2;0;R2;S3;R1;S2;NA;1.1705122115890511113062762486012142;1.435528739780325223151131766201937585296796793469910901684175250;1.435528739780325223151131766201937585296796793469910901684175250;0E-65;0E-65
0;2;0;R2;S1;S4;S1;0.26521000110613738481803751876456675;0.9187994834057862051267924915795978;1.435528739780325223151131766201937585296796793469910901684175250;1.6813339249503089078230034920048682151616881208605972531503236;0.923392370920635247081198818478848875949378625457993558921787120;1.129917025927122691076473270546778463084425725810693442326957695
0;2;1;R2;S3;S4;S1;0.9187994834057862051267924915795978;1.4374314477964134171775659265732153;1.6813339249503089078230034920048682151616881208605972531503236;0.59900800019829455244304244962292346415059488963815164239154;3.656037368489301805074260171517708657066630331989849756765461910;1.44412705392906021687834859410921098188756048566249543810836643
0;2;2;R2;S4;R1;S2;0.24065686657883640266873784367257031;1.4605623888801116435143592747719661;0.59900800019829455244304244962292346415059488963815164239154;2.5990755863159662102752442846713602722803702455552244938;-0.16544851300354815815371225891629092810816664359616649399550;2.8447052434777471527885545201444313608056348065655113038320
0;2;3;R2;S4;R2;S4;1.4825322679594339861210199631894002;1.4603340093544717171161242304005700;2.5990755863159662102752442846713602722803702455552244938;2.57703701578356464345178248857971837692491565592037902;0.0035582727932418725485727144487809019496843494692985975;0.0023982855844484997744765074436641097953173786879587517
0;2;4;R2;S4;R2;S4;1.4603340093544717171161242304005700;1.4637817298270774093520597284597932;2.57703701578356464345178248857971837692491565592037902;2.588702135525009569902301720218246523624077237709836;0.003960121944010797091256209259732191293619738495912879;0.00322213430602326318708059225186718505287387303014089
0;2;5;R2;S4;NA;NA;1.4637817298270774093520597284597932;NA;2.588702135525009569902301720218246523624077237709836;NA;NA;NA
0;3;0;R2;S4;S4;S3;NA;1.4937358370166047668186805793660941;2.6724554599336454137551952220259574964315394004363;2.6724554599336454137551952220259574964315394004363;0E-51;0E-51
0;3;0;R2;S4;R2;S4;1.2381207717266002823259618757631727;1.4805307022089827426039088388737091;2.6724554599336454137551952220259574964315394004363;2.65304309522158653054591172976491759193515917806;0.0059659240806507786803411179723859462227070112458;0.004689040575148896167105180765821805641032621921
0;3;1;R2;S4;R2;S1;1.4805307022089827426039088388737091;1.5744868835530657747881530644158360;2.65304309522158653054591172976491759193515917806;2.84781219933250384094662402529787241373965208;0.066661705376329790309317979413956985536410446457;0.144974101813200326357956190182603271262464430596
0;3;2;R2;S4;R2;S4;1.5665928983726603167964569609443997;1.5324843242128096313495195471612645;2.84781219933250384094662402529787241373965208;2.760373189718047034173862321054223475833583;0.03560349256821120807756446086049986594031920;0.03014901119582269102863362492219537274803001
0;3;3;R2;S1;R2;S4;1.5324843242128096313495195471612645;1.5516241778609386730838178801486413;2.760373189718047034173862321054223475833583;2.7572824873378523223300263972644718119317;0.337663574633241414067603290132471947966284;0.588766531775266175005969574834041902538258
0;3;4;R2;S1;S4;S4;1.4122660345620074568971137704258563;1.0608800644722933184741640241423897;2.7572824873378523223300263972644718119317;2.7236616244593640916849402501108858391;0.421804505633528465182971959149177863144;0.703544982385844124092753511067785802489
0;3;5;R2;S3;NA;NA;1.3155426054027655384202135074928747;NA;2.7236616244593640916849402501108858391;NA;NA;NA
0;4;0;S4;S1;S4;I understand;NA;0.20599668976977318739938790107328246;0.6966504242598476119396431274459122483;0.6966504242598476119396431274459122483;0E-38;0E-38
0;5;0;S4;S2;S4;S1;NA;1.2742669504120822306985818015441237;0.6966504242598476119396431274459122483;0.6966504242598476119396431274459122483;0E-38;0E-38
0;5;0;S4;I understand;NA;NA;0.20599668976977318739938790107328246;NA;0.6966504242598476119396431274459122483;NA;NA;NA
1;0;0;R1;S3;S4;S4;NA;1.2802388206205419826254947285734243;5.8348650015428552410139169671405546052594509074847224001307875332062488928;5.8348650015428552410139169671405546052594509074847224001307875332062488928;0E-75;0E-75
1;0;0;R1;S2;R2;S1;1.4140630450052718920776799341633038;1.1459339122325871120987511368997592;5.8348650015428552410139169671405546052594509074847224001307875332062488928;3.6135875474916397488899086603742099918055560486528092424666360426479518;1.2222736437741371517876853476319682763048923855303810730514099832002476607;1.5159947205828603850771494122580132575338689178054608995508197628013487987
1;0;1;R1;S2;R1;S2;1.3453150691392494645830254829488095;1.3819869765955596341127858707875457;3.6135875474916397488899086603742099918055560486528092424666360426479518;3.7261280077133378734822785540617191064941588932180455591839884169825;2.562068670548529686440032810498212367754132033422862255855033999311712;1.219649723350476816839007328555014897110107876833682319683862974477348
1;0;2;R1;S2;S4;S3;1.3819869765955596341127858707875457;1.1851989989869382914410360535164383;3.7261280077133378734822785540617191064941588932180455591839884169825;2.49184777310407470464405633155745913738277960762180372680638258376;1.2454446205215313027192797506422578603213461118628620024283938367;0.6887580588838882463095737900886962733639066592621686663858493993313
1;0;3;R1;S2;R1;I understand;1.0718189704282919069203373193682933;0.7367948649049202925396423986091405;2.49184777310407470464405633155745913738277960762180372680638258376;2.267049011541538758355327311466056253893001849976881333577708631;-0.11349767905744644363602124367219789034395867575567434078585141799;2.07111694133841419152494018106350255899753002618297702300634730684
1;1;0;R2;S1;R2;S1;NA;1.5801661286538370611422794551709643;2.267049011541538758355327311466056253893001849976881333577708631;2.267049011541538758355327311466056253893001849976881333577708631;0E-65;0E-65
1;1;0;R2;S4;R2;S1;1.5801661286538370611422794551709643;1.4613277314276716012565558251995538;2.267049011541538758355327311466056253893001849976881333577708631;3.20194110551963172634244948998375169838540204939872724068516;1.886739816888248141357092598013369407819246130129303939000359573;1.1711274732378233389886708198294869112633346871660574783073233
1;1;1;R2;S1;S4;S2;1.4928164073551686301185851087868503;1.5514709882921960431778475013632833;3.20194110551963172634244948998375169838540204939872724068516;2.8745469876780517759963451920782733593715801049953297112886;0.141386472482457036663912176296288662027415983912205638694238;0.086123849080173265918221746908937381518039483641257672549727
1;1;2;R2;S2;S4;S4;1.5571974921668847608982117544113643;1.2409016252281790935377298364442135;2.8745469876780517759963451920782733593715801049953297112886;2.4818586564333311226100767224480139105992936761592773692;0.427391676367689777663722776329667501328778789770797456046;0.664922199770057025872468811549212321518377254887972907016
1;1;3;R2;S1;R1;S3;1.4418749434796659220188193123682411;1.3377008628074652637128130811224255;2.4818586564333311226100767224480139105992936761592773692;2.77268471425017768136921077399683601571351345729526307;0.0870348440286216313521238138062317615006495488915737832;0.0813318744600287372941304437957461985422331158705976010
1;1;4;R2;S4;R1;S3;1.2947957920994588480022281633356990;1.4542027980517253976555672520540466;2.77268471425017768136921077399683601571351345729526307;2.829950716906714688989220174276733643078338166374548;0.065986277749658864058193621243253429436954604411366198;0.05653515017657898342635612131818182077662984289289371
1;1;5;R2;S4;NA;NA;1.2581044202139292691906354002093124;NA;2.829950716906714688989220174276733643078338166374548;NA;NA;NA
1;2;0;R1;S2;R1;S3;NA;1.4865423004032793781811409819929281;2.5682218737964623084721989559827292924685947592370;2.5682218737964623084721989559827292924685947592370;0E-51;0E-51
1;2;0;R1;S3;R1;S2;1.2264228005470150723435297869956690;1.2261329633016784251112720106365701;2.5682218737964623084721989559827292924685947592370;2.55620994053731379460974708202219139230422122027;0.0011103061308652869508312704992345292699250950357;0.0008258695369797334530162674952984077921749686193
1;2;1;R1;S3;R1;S3;1.4837824749786420640655839183398109;1.2261079642278434876928407825812210;2.55620994053731379460974708202219139230422122027;2.55341687806884367928493592798443808547271842;0.000499724197159066354316365724952467911632056564;0.000419290031522342758179144425527600324404854658
1;2;2;R1;S3;R1;S3;1.2261079642278434876928407825812210;1.2261501875969364182862233535158656;2.55341687806884367928493592798443808547271842;2.554571678219023543347230050602560340767949;0.002046316834832383961655371872152477216349067;0.00092452078531381051949199986559771771484009
1;2;3;R1;S2;R1;S3;1.2261501875969364182862233535158656;1.4796504741738773906570549820176218;2.554571678219023543347230050602560340767949;2.5759377713922153660160231220170359480086;0.0017212484387842593565483330433154090657430;0.0037055917080428279126097224862849418877539
1;2;4;R1;S3;S4;S3;1.2256629432919438190845505691426174;1.2130419713402480381520622917874672;2.5759377713922153660160231220170359480086;2.68368580931283010443777162370336078593;0.02166110689802763199251722938823349558798;0.04961369173575893051036192071000718393717
1;2;5;R1;S3;NA;NA;1.2130419713402480381520622917874672;NA;2.68368580931283010443777162370336078593;NA;NA;NA
1;3;0;R1;S3;R1;S2;NA;0.9721029248437889194268447505954166;2.691580139260043841139614691115227050;2.691580139260043841139614691115227050;0E-37;0E-37
1;3;0;R1;S3;S4;I understand;1.1435816728939372640511835421329365;0.24371259275161838137966672951143324;2.691580139260043841139614691115227050;0.90432672458025896883258808177253270;0.81121419418791763895971119260512637;0.699795306346317043950784849722770235
1;4;0;R2;S1;R1;S2;NA;1.5471060540196029734343912355419051;0.90432672458025896883258808177253270;0.90432672458025896883258808177253270;0E-36;0E-36
1;4;0;R2;S1;R1;I understand;0.27806729821612757883513319820707879;0.0;0.90432672458025896883258808177253270;0.0;0.0;0.0
1;5;0;R2;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
2;0;0;R1;S3;R1;S3;NA;1.2802388206205419826254947285734243;5.8348650015428552410139169671405546052594509074847224001307875332062488928;5.8348650015428552410139169671405546052594509074847224001307875332062488928;0E-75;0E-75
