pair;round;nrTurns;success
0;0;3;true
0;1;3;true
0;2;7;true
0;3;7;false
0;4;1;true
0;5;2;true
1;0;5;true
1;1;7;false
1;2;7;false
1;3;2;false
1;4;2;false
1;5;1;false
2;0;3;true
2;1;4;true
2;2;1;true
2;3;1;true
2;4;3;true
2;5;1;true
3;0;2;true
3;1;7;false
3;2;7;false
3;3;7;false
3;4;1;true
3;5;1;false
4;0;4;true
4;1;1;true
4;2;1;true
4;3;2;true
4;4;2;true
4;5;1;true
5;0;5;true
5;1;7;true
5;2;7;false
5;3;3;true
5;4;1;false
5;5;1;true
6;0;7;false
6;1;7;true
6;2;7;false
6;3;1;true
6;4;1;false
6;5;1;false
7;0;3;false
7;1;3;true
7;2;1;false
7;3;1;true
7;4;5;false
7;5;1;true
8;0;2;true
8;1;7;true
8;2;7;true
8;3;3;false
8;4;4;false
8;5;1;false
9;0;7;false
9;1;2;false
9;2;7;true
9;3;6;true
9;4;1;true
9;5;1;false
10;0;3;true
10;1;1;true
10;2;1;true
10;3;1;true
10;4;1;true
10;5;2;true
11;0;4;true
11;1;1;true
11;2;3;true
11;3;1;true
11;4;1;true
11;5;7;false
12;0;3;true
12;1;1;true
12;2;1;false
12;3;1;true
12;4;1;true
12;5;2;true
13;0;3;true
13;1;2;true
13;2;7;false
13;3;1;true
13;4;2;false
13;5;1;true
14;0;3;true
14;1;1;true
14;2;1;true
14;3;1;true
14;4;5;true
14;5;2;true
15;0;3;false
15;1;7;false
15;2;2;true
15;3;1;true
15;4;1;true
15;5;3;false
16;0;3;true
16;1;7;false
16;2;7;true
16;3;5;false
16;4;1;false
16;5;1;true
17;0;3;true
17;1;3;true
17;2;2;false
17;3;2;true
17;4;1;false
17;5;3;true
18;0;7;true
18;1;7;true
18;2;7;false
18;3;1;true
18;4;1;false
18;5;1;false
19;0;6;false
19;1;7;true
19;2;7;false
19;3;2;true
19;4;1;false
19;5;1;true
20;0;3;true
20;1;1;true
20;2;1;true
20;3;7;false
20;4;7;false
20;5;5;false
21;0;7;false
21;1;7;true
21;2;7;true
21;3;1;false
21;4;1;false
21;5;1;false
22;0;3;true
22;1;1;true
22;2;3;true
22;3;1;true
22;4;1;true
22;5;1;true
23;0;3;false
23;1;7;false
23;2;7;true
23;3;2;true
23;4;1;true
23;5;1;false
24;0;2;true
24;1;1;false
24;2;7;true
24;3;7;true
24;4;5;false
24;5;2;true
25;0;7;false
25;1;3;false
25;2;1;true
25;3;2;true
25;4;7;false
25;5;4;false
26;0;3;true
26;1;7;false
26;2;7;true
26;3;5;false
26;4;1;false
26;5;1;true
27;0;2;true
27;1;7;true
27;2;7;true
27;3;6;false
27;4;1;false
27;5;1;false
28;0;7;false
28;1;7;false
28;2;7;false
28;3;1;true
28;4;1;true
28;5;1;true
29;0;7;true
29;1;7;true
29;2;7;true
29;3;1;true
29;4;1;false
29;5;1;false
30;0;5;true
30;1;2;false
30;2;1;true
30;3;7;true
30;4;7;false
30;5;2;false
31;0;3;true
31;1;2;true
31;2;1;true
31;3;4;false
31;4;1;true
31;5;1;true
32;0;2;true
32;1;7;false
32;2;7;false
32;3;6;true
32;4;1;true
32;5;1;false
33;0;4;true
33;1;1;true
33;2;1;true
33;3;1;true
33;4;1;true
33;5;1;true
34;0;4;true
