pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S2;R2;I understand;NA;0.032633432562870926888908472215352780;2.4466397511588903007057224243650290038658;2.4466397511588903007057224243650290038658;0E-41;0E-41
0;1;0;R2;S3;R2;I understand;NA;0.12161347847954443399364456257329273;2.4466397511588903007057224243650290038658;2.4466397511588903007057224243650290038658;0E-41;0E-41
0;2;0;R2;S2;R2;I understand;NA;0.032633432562870926888908472215352780;2.4466397511588903007057224243650290038658;2.4466397511588903007057224243650290038658;0E-41;0E-41
0;3;0;S4;S4;R2;S3;NA;1.4420624174308375964223602070401085;2.4466397511588903007057224243650290038658;2.4466397511588903007057224243650290038658;0E-41;0E-41
0;3;0;S4;S4;R2;S3;0.12161347847954443399364456257329273;1.1544315380566779926912325632308996;2.4466397511588903007057224243650290038658;1.32095744591803210220140137677707676076;0.85141005522169089495832650626422541135099;0.56874574876777151897948081699145471491
0;3;1;S4;S4;S4;S4;0.0062223894177552143543051080523693930;1.05920863873583882710821247926675153;1.32095744591803210220140137677707676076;0.5123234745891674796815753205800643582;0.21106364046400347036764810344425155835;0.1252341900990807198507361025403731857
0;3;2;S4;S4;S4;S4;1.05920863873583882710821247926675153;1.004716126455437659243871972157404582;0.5123234745891674796815753205800643582;0.03846773997973223368405979542708445009;0.1713191147211112138421625360245166865;0.063800950528261598126725230920997782928
0;3;3;S4;S4;S4;S4;1.004716126455437659243871972157404582;1.0003593208904536608864861225975308697;0.03846773997973223368405979542708445009;0.0027867552555183652455689748178542325497;0.007271393084156261048381592419662315482;0.00280636833355831058550443157304585963502
0;3;4;S4;S4;S4;S4;1.0003593208904536608864861225975308697;1.00002669115935026463083770580009098434;0.0027867552555183652455689748178542325497;0.000204473804218490401359738577498428593029;0.00036553919574796056625367249557435435023;0.0001470988527692727333470674860751745341114
0;3;5;S4;S4;NA;NA;1.00002669115935026463083770580009098434;NA;0.000204473804218490401359738577498428593029;NA;NA;NA
0;4;0;S4;S4;R2;S2;NA;1.000001929510504921622881402410639025940;0.00001481479925999738493098642201838899797083;0.00001481479925999738493098642201838899797083;0E-46;0E-46
0;4;0;S4;S4;S4;S4;0.00000100905102446150938388767346802271011;1.00000003928158955179388271454791849999283;0.00001481479925999738493098642201838899797083;3.18997380596156777608725725710090087546E-7;0.000002117996626663429693847060549224985433927;6.026128132899467021364414252912786603526E-7
0;4;1;S4;S4;S4;S4;1.00000003928158955179388271454791849999283;1.000000002648116855154649040064699115448655;3.18997380596156777608725725710090087546E-7;2.11426633101078536782004549712073518E-8;2.09829947499391049650670744857200361E-8;8.47959786212403698348790452426072019E-9
0;4;2;S4;S4;R2;S2;1.000000002648116855154649040064699115448655;1.0000000000000000000000000000000000;2.11426633101078536782004549712073518E-8;0.0;-6.377226553047246620310613701261134E-10;6.377226557114148475090031976651346E-10
0;4;3;S4;S4;S4;S4;0.0;1.0000000000000000000000000000000000;0.0;0.0;0.0;0.0
0;4;4;S4;S4;S4;S4;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.0;0.0;0.0;0.0
0;4;5;S4;S1;NA;NA;1.0000000000000000000000000000000000;NA;0.0;NA;NA;NA
0;5;0;R1;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
1;0;0;R1;S1;R1;S1;NA;1.10260584602190433101432797151105207;2.4466397511588903007057224243650290038658;2.4466397511588903007057224243650290038658;0E-41;0E-41
1;0;0;R1;S1;R1;I understand;1.10260584602190433101432797151105207;0.1645206378644532635659440612038550423;2.4466397511588903007057224243650290038658;1.4331188766935475746795036309044164559;2.36302469861071239338046814378302746327949;3.1195494582450094978202526413444778310
1;1;0;R1;S1;R1;I understand;NA;0.1645206378644532635659440612038550423;1.4331188766935475746795036309044164559;1.4331188766935475746795036309044164559;0E-37;0E-37
1;2;0;R2;S2;R2;I understand;NA;0.028408370644302417041853186918175873;1.4331188766935475746795036309044164559;1.4331188766935475746795036309044164559;0E-37;0E-37
1;3;0;S4;S4;R2;S2;NA;1.5662412477977423141894901323569568;1.4331188766935475746795036309044164559;1.4331188766935475746795036309044164559;0E-37;0E-37
1;3;0;S4;S4;S4;S4;0.028408370644302417041853186918175873;1.4252099451973076128294220429101095;1.4331188766935475746795036309044164559;2.054954562482750848986775125470594677;0.56957578850747161140764404169308356008;0.6346952979375947754295074927969723036
1;3;1;S4;S4;S4;S4;1.4252099451973076128294220429101095;1.06988900641077132347265237570230069;2.054954562482750848986775125470594677;0.5168219753042671017476207481786514007;1.4323922795982653023860741920401676694;0.8770562755771170104321354218838001590
1;3;2;S4;S4;S4;S4;1.06988900641077132347265237570230069;1.006572617271649145418109513001596600;0.5168219753042671017476207481786514007;0.04903236763894008991991869121420812176;0.1642759669899853958522104747355900895;0.066059097341839962506980369655251800291
1;3;3;S4;S4;R2;S3;1.006572617271649145418109513001596600;1.0005392603525190313268520431880915139;0.04903236763894008991991869121420812176;0.0040733386395124214454925162509264779734;0.009155469880007861417734372349761761047;0.00373669740488331135925230894302365794460
1;3;4;S4;S4;R2;S2;0.00030147818026637003071175878261560270;1.00001372724170016413341767744208057810;0.0040733386395124214454925162509264779734;0.00011076227736717425186921625186347568271;0.00092971412819101132139283235110135028959;0.000264568224109901172400953444465146058654
1;3;5;S4;S4;NA;NA;0.00000176033845478343696629728352087086364;NA;0.00011076227736717425186921625186347568271;NA;NA;NA
1;4;0;R1;S1;R1;S1;NA;1.0000000009968954922459791210253581057665596;0.00004085318149148482380350605975197976595;0.00004085318149148482380350605975197976595;0E-43;0E-43
1;4;0;R1;S1;R1;S1;1.0000000009968954922459791210253581057665596;0.99999999985705188930649149179305082282309744;0.00004085318149148482380350605975197976595;0.0001577699631654966734741073540628690288570;0.0000036784372380946653347143584297670732405;0.00001058019202688522000748104230176790351390
1;4;1;R1;S1;R1;S1;0.99999999985705188930649149179305082282309744;0.9999576963518987870669794128792912;0.0001577699631654966734741073540628690288570;0.0085797963202935304672991667212269671854;0.000682005336342413466310799079725998059730;0.00358944256631989652961884776541931360683
1;4;2;R1;S1;R1;I understand;0.9999576963518987870669794128792912;0.4733448481035624390490219734528662;0.0085797963202935304672991667212269671854;0.8242733699602339113683391934910506;0.293929222029014525012304569222519492;1.3123270433780269018974273191282496
1;5;0;S4;S4;S4;S4;NA;1.09952923862393158782757321242749631;0.8242733699602339113683391934910506;0.8242733699602339113683391934910506;0E-34;0E-34
1;5;0;S4;S1;R1;I understand;1.09952923862393158782757321242749631;0.0;0.8242733699602339113683391934910506;0.0;0.0;0.0
2;0;0;S4;S4;S4;S4;NA;1.4420624174308375964223602070401085;2.4466397511588903007057224243650290038658;2.4466397511588903007057224243650290038658;0E-41;0E-41
2;0;0;S4;S4;S4;S4;1.4420624174308375964223602070401085;1.06768483729630332583066344242057718;2.4466397511588903007057224243650290038658;0.610005903409525195108510951716340798;1.3573375693755369771105905442319719772109;0.9380466684922532035208718753454332680
2;0;1;S4;S4;S4;S4;1.06768483729630332583066344242057718;1.005720662018037927415821192422543591;0.610005903409525195108510951716340798;0.04876878265795286036330677385211940400;0.1859698109274860491131081507382496134;0.071404194478435581828681365411578900458
2;0;2;S4;S4;R2;S3;1.005720662018037927415821192422543591;1.0004470957481538936288924579086586759;0.04876878265795286036330677385211940400;0.0036352885066359901152517289029107351679;0.00867901094996664238550726809455853123;0.00340491004910141876731857913391802756574
2;0;3;S4;S4;R2;S3;0.00019492019529722259641384656904896533;1.00006129160974354208141303952894064835;0.0036352885066359901152517289029107351679;0.00049092995485245406929262659611161184390;0.00060151658064600296430759278594650498416;0.000179513063812256285176802209776593985687
2;0;4;S4;S4;S4;S4;0.0000037115729853105215644017770540076897;1.00002669115935026463083770580009098434;0.00049092995485245406929262659611161184390;0.000204473804218490401359738577498428593029;0.000015473485073999872612468251851467828637;0.0000074996527492462442513607829155550215231
2;0;5;S4;S4;NA;NA;1.00002669115935026463083770580009098434;NA;0.000204473804218490401359738577498428593029;NA;NA;NA
