pair;round;nrTurns;success
0;0;1;false
0;1;7;false
0;2;1;true
0;3;7;false
0;4;7;true
0;5;1;false
1;0;7;true
1;1;1;true
1;2;7;true
1;3;7;false
1;4;1;false
1;5;1;false
2;0;7;true
2;1;7;false
2;2;2;true
2;3;6;true
2;4;1;false
2;5;1;false
3;0;7;true
3;1;1;true
3;2;7;true
3;3;7;true
3;4;1;false
3;5;1;false
4;0;1;true
4;1;1;true
4;2;4;false
4;3;2;true
4;4;1;true
4;5;1;true
5;0;1;true
5;1;7;true
5;2;7;true
5;3;7;true
5;4;1;true
5;5;1;false
6;0;1;true
6;1;1;false
6;2;1;true
6;3;1;false
6;4;7;false
6;5;7;true
7;0;2;true
7;1;1;true
7;2;1;true
7;3;7;false
7;4;7;true
7;5;6;false
8;0;1;true
8;1;1;false
8;2;1;true
8;3;7;false
8;4;7;false
8;5;7;true
9;0;1;true
9;1;1;true
9;2;1;true
9;3;7;true
9;4;1;true
9;5;7;true
10;0;7;false
10;1;7;false
10;2;7;false
10;3;1;true
10;4;1;true
10;5;1;false
11;0;7;false
11;1;7;false
11;2;7;false
11;3;1;false
11;4;1;false
11;5;1;true
12;0;1;true
12;1;7;false
12;2;7;false
12;3;7;false
12;4;1;false
12;5;1;false
13;0;7;false
13;1;7;true
13;2;7;false
13;3;1;true
13;4;1;true
13;5;1;false
14;0;4;true
14;1;1;true
14;2;7;false
14;3;3;true
14;4;7;false
14;5;2;false
15;0;1;true
15;1;2;true
15;2;4;false
15;3;7;false
15;4;7;false
15;5;3;false
16;0;1;true
16;1;1;true
16;2;1;true
16;3;1;false
16;4;1;true
16;5;7;false
17;0;1;true
17;1;1;true
17;2;7;false
17;3;7;false
17;4;7;true
17;5;1;true
18;0;1;true
18;1;7;false
18;2;7;true
18;3;7;false
18;4;1;false
18;5;1;false
19;0;7;true
19;1;1;true
19;2;1;true
19;3;1;true
19;4;1;true
19;5;7;false
20;0;1;true
20;1;1;true
20;2;7;false
20;3;7;false
20;4;7;false
20;5;1;true
21;0;1;true
21;1;1;true
21;2;1;false
21;3;1;true
21;4;1;true
21;5;7;false
22;0;1;true
22;1;7;true
22;2;7;false
22;3;7;true
22;4;1;true
22;5;1;true
23;0;1;true
23;1;1;true
23;2;7;true
23;3;7;false
23;4;7;false
23;5;1;false
24;0;2;true
24;1;1;true
24;2;7;false
24;3;7;false
24;4;6;false
24;5;1;false
25;0;1;true
25;1;1;true
25;2;7;true
25;3;7;false
25;4;7;true
25;5;1;false
26;0;7;false
26;1;7;true
26;2;7;false
26;3;1;false
26;4;1;true
26;5;1;false
27;0;1;true
27;1;7;false
27;2;2;true
