pair;round;nrTurns;success
66;2;7;false
66;3;1;false
66;4;1;false
66;5;1;true
67;0;2;false
67;1;7;true
67;2;7;true
67;3;7;true
67;4;1;false
67;5;1;false
68;0;5;false
68;1;7;true
68;2;7;false
68;3;4;false
68;4;1;true
68;5;1;true
69;0;2;false
69;1;1;true
69;2;1;true
69;3;1;true
69;4;1;true
69;5;1;true
70;0;3;true
70;1;7;false
70;2;3;true
70;3;7;true
70;4;3;false
70;5;1;false
71;0;2;true
71;1;1;false
71;2;1;false
71;3;1;false
71;4;1;true
71;5;1;true
72;0;7;false
72;1;2;true
72;2;2;true
72;3;1;true
72;4;1;true
72;5;6;true
73;0;5;true
73;1;1;true
73;2;4;true
73;3;1;false
73;4;4;true
73;5;7;true
74;0;2;true
74;1;1;false
74;2;1;false
74;3;1;false
74;4;1;true
74;5;1;true
75;0;5;false
75;1;3;false
75;2;1;true
75;3;1;true
75;4;1;true
75;5;1;true
76;0;7;true
76;1;7;false
76;2;7;true
76;3;3;false
76;4;1;false
76;5;1;false
77;0;7;true
77;1;7;false
77;2;2;false
77;3;1;true
77;4;6;true
77;5;1;true
78;0;7;true
78;1;3;true
78;2;1;true
78;3;6;true
78;4;1;true
78;5;1;true
79;0;7;true
79;1;2;true
79;2;7;false
79;3;6;false
79;4;1;true
79;5;1;true
80;0;2;true
80;1;7;true
80;2;7;true
80;3;6;false
80;4;1;true
80;5;1;true
81;0;3;true
81;1;2;true
81;2;2;true
81;3;1;false
81;4;1;true
81;5;1;true
82;0;2;true
82;1;1;true
82;2;1;true
82;3;1;true
82;4;1;true
82;5;1;true
83;0;7;false
83;1;1;true
83;2;7;false
83;3;3;true
83;4;1;true
83;5;1;true
84;0;7;false
84;1;7;true
84;2;7;false
84;3;1;false
84;4;1;false
84;5;1;true
85;0;2;true
85;1;2;true
85;2;7;true
85;3;7;false
85;4;5;false
85;5;1;false
86;0;2;true
86;1;2;true
86;2;1;false
86;3;1;true
86;4;7;false
86;5;7;true
87;0;3;true
87;1;1;false
87;2;1;false
87;3;7;true
87;4;2;true
87;5;7;false
88;0;2;true
88;1;1;true
88;2;1;true
88;3;1;true
88;4;1;true
88;5;1;true
89;0;4;false
89;1;3;true
89;2;2;true
89;3;1;true
89;4;4;true
89;5;7;true
90;0;3;true
90;1;6;true
90;2;7;false
90;3;6;true
90;4;1;false
90;5;1;true
91;0;2;true
91;1;1;true
91;2;1;true
91;3;1;false
91;4;1;true
91;5;1;true
92;0;7;false
92;1;1;true
92;2;1;true
92;3;1;true
92;4;1;false
92;5;1;true
93;0;2;true
93;1;1;true
93;2;1;false
93;3;1;false
93;4;1;true
93;5;1;true
94;0;2;true
94;1;1;true
94;2;7;false
94;3;7;false
94;4;6;true
94;5;1;false
95;0;7;false
95;1;7;true
95;2;7;false
95;3;1;false
95;4;1;false
95;5;1;true
96;0;2;false
96;1;7;false
96;2;7;true
96;3;7;true
96;4;1;false
96;5;1;false
97;0;7;false
97;1;7;true
97;2;7;true
97;3;1;true
97;4;6;true
97;5;2;false
98;0;3;true
98;1;2;true
98;2;5;true
98;3;1;true
98;4;7;false
98;5;2;false
99;0;3;true
99;1;1;true
99;2;4;true
99;3;5;true
99;4;2;false
99;5;1;true
100;0;3;true
100;1;2;true
100;2;3;false
100;3;3;true
100;4;1;true
100;5;2;true
101;0;2;true
101;1;7;true
101;2;1;false
101;3;3;false
101;4;1;true
101;5;1;true
102;0;2;true
102;1;1;true
102;2;1;false
102;3;1;true
102;4;1;true
102;5;1;false
103;0;4;true
103;1;1;true
103;2;1;true
103;3;1;true
103;4;1;true
103;5;2;true
104;0;2;true
104;1;1;true
104;2;1;true
104;3;1;true
104;4;1;true
104;5;1;false
105;0;3;false
105;1;1;false
105;2;1;true
105;3;1;true
105;4;2;true
105;5;2;true
106;0;3;true
106;1;3;true
106;2;1;true
106;3;1;false
106;4;5;true
106;5;7;false
107;0;7;true
107;1;2;false
107;2;7;false
107;3;4;false
107;4;3;false
107;5;1;true
108;0;2;true
108;1;1;true
108;2;1;true
108;3;1;true
108;4;1;false
108;5;1;true
109;0;2;true
109;1;7;false
109;2;1;true
109;3;1;true
109;4;1;true
109;5;1;true
110;0;2;true
110;1;7;false
110;2;7;true
110;3;6;false
110;4;1;true
