pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S2;S4;S4;NA;0.8490132479945641971726899141620662;4.764405634698287455542316767144242870630329673515519784774328104704073114;4.764405634698287455542316767144242870630329673515519784774328104704073114;0E-74;0E-74
0;0;0;R2;S2;R2;S2;1.2575153260207111554470505272216026;1.1497027738884214785342445351176053;4.764405634698287455542316767144242870630329673515519784774328104704073114;2.5790308966995492199369653855861884244833718713344072824779640760741866;0.303086169188572515804435690691864690086856270205822260085132384353026300;1.927050040294284286402448697216382305435321782882474571335718009431865357
0;0;1;R2;S1;R2;S2;1.1497027738884214785342445351176053;1.02381903412088225052404147484596139;2.5790308966995492199369653855861884244833718713344072824779640760741866;1.965600074897461834529281444331048092447464539501283804935590876541922;0.865483876971915755653204766451333144337370346665563027742252075481557421;0.40981594311074928547466334829043111544298584524005755897467740780973507
0;0;2;R2;S2;R2;I understand;1.1576196321954578300532301913434197;0.2554386925611056334053279869348470995;1.965600074897461834529281444331048092447464539501283804935590876541922;1.55799492044219336096722768340003787917914468881620065531103728274;-0.1798457469741977552225034985023040002617005077804778828574358887382;0.7603315147966343102974065517554450405292174126485340197440276087929
0;1;0;R2;S2;R2;I understand;NA;0.2554386925611056334053279869348470995;1.55799492044219336096722768340003787917914468881620065531103728274;1.55799492044219336096722768340003787917914468881620065531103728274;0E-67;0E-67
0;2;0;R1;S1;R1;S1;NA;0.97884260325616730381821833367785488;1.55799492044219336096722768340003787917914468881620065531103728274;1.55799492044219336096722768340003787917914468881620065531103728274;0E-67;0E-67
0;2;0;R1;S2;R2;I understand;0.97884260325616730381821833367785488;0.5216472538776241759352611817529368510;1.55799492044219336096722768340003787917914468881620065531103728274;0.7542587895360653154188764827680982788568738287431175839260869702;2.6133399965059777649713066912918900288384003910913546440878228980;2.84103312784890685885684538403194857633334909228194185158501829747
0;3;0;R1;S1;R1;I understand;NA;0.148857720805636660964950045850559490;0.7542587895360653154188764827680982788568738287431175839260869702;0.7542587895360653154188764827680982788568738287431175839260869702;0E-66;0E-66
0;4;0;R1;S1;R1;I understand;NA;0.148857720805636660964950045850559490;0.7542587895360653154188764827680982788568738287431175839260869702;0.7542587895360653154188764827680982788568738287431175839260869702;0E-66;0E-66
0;5;0;R2;S3;R2;S3;NA;1.2258630032576624933596090145605060;0.7542587895360653154188764827680982788568738287431175839260869702;0.7542587895360653154188764827680982788568738287431175839260869702;0E-66;0E-66
0;5;0;R2;S2;R1;S2;1.2258630032576624933596090145605060;0.990295549934607334441034042474996848;0.7542587895360653154188764827680982788568738287431175839260869702;2.284621304007476506205048563438530931839830928022383243786133;1.065509718070650015837906159100264363656077839304965242006873824;1.878571004114019566509082573071917042177422304259988422638220599
