pair;round;nrTurns;success
0;0;1;true
0;1;1;false
0;2;1;true
0;3;1;true
0;4;1;true
0;5;1;false
1;0;1;true
1;1;1;true
1;2;1;true
1;3;1;true
1;4;1;true
1;5;1;true
2;0;1;true
2;1;7;true
2;2;7;false
2;3;7;true
2;4;1;false
2;5;1;false
3;0;2;true
3;1;3;true
3;2;1;true
3;3;4;true
3;4;1;false
3;5;1;true
4;0;7;false
4;1;7;false
4;2;7;true
4;3;1;false
4;4;1;false
4;5;1;false
5;0;1;true
5;1;1;true
5;2;2;true
5;3;1;true
5;4;1;true
5;5;1;true
6;0;2;true
6;1;2;true
6;2;2;true
6;3;2;true
6;4;1;true
6;5;1;true
7;0;1;true
7;1;1;true
7;2;1;true
7;3;1;true
7;4;1;true
7;5;1;true
8;0;1;false
8;1;1;true
8;2;1;true
8;3;1;true
8;4;2;true
8;5;1;true
9;0;1;true
9;1;1;true
9;2;1;true
9;3;1;false
9;4;1;true
9;5;1;false
10;0;1;true
10;1;1;true
10;2;1;true
10;3;1;true
10;4;1;true
10;5;1;true
11;0;1;true
11;1;1;false
11;2;1;true
11;3;7;false
11;4;5;false
11;5;7;false
12;0;1;true
12;1;1;false
12;2;2;true
12;3;1;true
12;4;7;true
12;5;7;true
13;0;1;true
13;1;1;true
13;2;2;true
13;3;1;true
13;4;1;true
13;5;1;false
14;0;1;true
14;1;1;true
14;2;1;true
14;3;1;true
14;4;1;true
14;5;1;true
15;0;1;true
15;1;1;false
15;2;1;true
15;3;2;true
15;4;1;true
15;5;7;false
16;0;1;true
16;1;1;true
16;2;1;true
16;3;1;true
16;4;1;true
16;5;1;true
17;0;4;false
17;1;1;true
17;2;1;false
17;3;3;true
17;4;1;true
17;5;1;true
18;0;1;true
18;1;1;true
18;2;1;true
18;3;1;true
18;4;1;true
18;5;1;true
19;0;1;true
19;1;1;false
19;2;1;true
19;3;1;true
19;4;1;true
19;5;1;true
20;0;7;true
20;1;7;true
20;2;7;true
