pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S2;R2;S4;NA;1.5452574677417973810066065989815929;6.1989858839011054677533148114463412891358888154413910512681760165909380318;6.1989858839011054677533148114463412891358888154413910512681760165909380318;0E-75;0E-75
0;0;0;R2;S3;S4;S3;1.5588396200695857470745541719668598;1.5028543853106035784939832345726840;6.1989858839011054677533148114463412891358888154413910512681760165909380318;4.5565876891690020750891400914693772275951024089012930099585120280377632;0.915993807075737137190244456790336925264205347415322073983962029867850259;1.552202118068410460092251938964457810313536515161099092710286921773901923
0;0;1;R2;S1;S4;S3;1.5028543853106035784939832345726840;1.4671185554842917960329478276793846;4.5565876891690020750891400914693772275951024089012930099585120280377632;4.12700450860212944930372776371160364320016262925297951360592502402007;3.66759609442742967142111436158620622365676433294070018559388391198944037;1.2728360099750354789533906194223441414153269294673840395260541225007416
0;0;2;R2;S4;R2;S4;1.5297574748291177481999575748485702;1.3517609981115966465686656144294011;4.12700450860212944930372776371160364320016262925297951360592502402007;4.27058601731493072764385614419580684274538947660112550955266481876;0.63735948886052181321261259948379880921625768178373227051332639120501;1.12980571080527148627621192310620943762924957584290270256222442215858
0;0;3;R2;S4;R2;S4;1.3517609981115966465686656144294011;1.0335697279733162058586711242127968;4.27058601731493072764385614419580684274538947660112550955266481876;2.129348186380304787100919967858275419026275454935579812900924078;2.515567530190977010856691454674982870958102497352820936597294022085;1.12783037814815844000179310280527687238196564992212255540893615441
0;0;4;R2;S4;R2;S4;1.0335697279733162058586711242127968;0.8967301022202233658141283589852814;2.129348186380304787100919967858275419026275454935579812900924078;1.43128627242866098897407195622415439588682082386161154537369306;0.1825265830342766452859369538142387890976739657911358772306347728;0.0923611688118004913126083562109815251733746298927979618259947502
0;0;5;R2;S4;NA;NA;0.8967301022202233658141283589852814;NA;1.43128627242866098897407195622415439588682082386161154537369306;NA;NA;NA
0;1;0;R1;S1;R1;S1;NA;1.1494404667374423333550965176208970;1.3365423867455247965463669519446340253296752975426440902295442;1.3365423867455247965463669519446340253296752975426440902295442;0E-63;0E-63
0;1;0;R1;S2;R1;S3;1.1494404667374423333550965176208970;1.3927781766478228551196174112624556;1.3365423867455247965463669519446340253296752975426440902295442;0.814670722385445260523326116811669002945469128564787869513;0.720398044776922425101425717463502740102144444820146670447474;0.45763910523987362492899260218047291763031503423594371839732
0;1;1;R1;I understand;NA;NA;0.27608695197630964325872369740022331;NA;0.814670722385445260523326116811669002945469128564787869513;NA;NA;NA
