pair;round;nrTurns;success
0;0;7;true
0;1;3;true
0;2;1;true
0;3;1;true
0;4;1;true
0;5;7;false
1;0;7;true
1;1;1;true
1;2;7;false
1;3;7;false
1;4;1;false
1;5;1;false
2;0;2;true
2;1;7;true
2;2;7;true
2;3;7;false
2;4;1;true
2;5;2;true
3;0;6;false
3;1;1;true
3;2;1;true
3;3;7;false
3;4;3;true
3;5;1;true
4;0;7;false
4;1;2;true
4;2;1;false
4;3;1;true
4;4;1;true
4;5;7;true
5;0;2;true
5;1;2;false
5;2;5;false
5;3;2;true
5;4;2;false
5;5;4;true
6;0;2;true
6;1;1;true
6;2;7;false
6;3;7;true
6;4;6;false
6;5;1;true
7;0;7;false
7;1;7;false
7;2;7;false
7;3;1;false
7;4;1;false
7;5;1;false
8;0;7;false
8;1;7;false
8;2;7;false
8;3;1;false
8;4;1;false
8;5;1;false
9;0;7;false
9;1;7;true
9;2;7;false
9;3;1;true
9;4;1;false
9;5;1;false
10;0;3;false
10;1;1;true
10;2;2;true
10;3;1;true
10;4;2;true
10;5;7;true
11;0;7;false
11;1;7;true
11;2;7;false
11;3;1;false
11;4;1;false
11;5;1;false
12;0;2;true
12;1;5;false
12;2;1;true
12;3;7;false
12;4;7;false
12;5;2;false
13;0;6;true
13;1;1;true
13;2;1;true
13;3;1;false
13;4;2;true
13;5;7;false
14;0;7;false
14;1;7;false
14;2;7;true
14;3;1;false
14;4;1;false
14;5;1;false
15;0;6;true
15;1;7;false
15;2;7;true
15;3;2;false
15;4;1;true
15;5;1;false
16;0;4;true
16;1;7;true
16;2;7;true
16;3;4;false
16;4;1;true
16;5;1;false
17;0;6;true
17;1;7;false
17;2;1;true
17;3;1;false
17;4;1;true
17;5;1;true
18;0;5;true
18;1;7;false
18;2;7;false
18;3;3;false
18;4;1;false
18;5;1;true
19;0;7;false
19;1;7;true
19;2;5;true
19;3;3;false
19;4;1;true
19;5;1;true
20;0;7;false
20;1;2;false
20;2;1;true
20;3;1;true
20;4;7;true
