pair;round;nrTurns;success
0;0;4;false
0;1;2;true
0;2;1;true
0;3;7;false
0;4;7;true
0;5;3;false
1;0;2;true
1;1;2;true
1;2;1;false
1;3;1;true
1;4;1;true
1;5;7;true
2;0;3;true
2;1;3;true
2;2;1;true
2;3;1;true
2;4;7;false
2;5;1;true
3;0;5;true
3;1;1;true
3;2;1;true
3;3;2;true
3;4;1;false
3;5;1;true
4;0;2;true
4;1;1;true
4;2;5;true
4;3;7;false
4;4;7;false
4;5;2;true
5;0;7;false
5;1;7;false
5;2;7;true
5;3;1;false
5;4;1;false
5;5;1;false
6;0;2;true
6;1;2;true
6;2;2;true
6;3;7;false
6;4;7;true
6;5;4;false
7;0;2;true
7;1;6;true
7;2;2;true
7;3;1;true
7;4;1;true
7;5;1;true
8;0;3;true
8;1;4;true
8;2;1;true
8;3;1;true
8;4;7;false
8;5;4;true
9;0;3;true
9;1;6;true
9;2;1;true
9;3;7;true
9;4;6;false
9;5;1;false
10;0;3;true
10;1;7;true
10;2;1;true
10;3;1;true
10;4;7;true
10;5;5;false
11;0;7;true
11;1;3;true
11;2;7;true
11;3;1;true
11;4;5;false
11;5;1;true
12;0;2;true
12;1;1;true
12;2;7;true
12;3;7;true
12;4;6;false
12;5;1;false
13;0;2;true
13;1;1;true
13;2;5;true
13;3;7;true
13;4;7;false
13;5;2;true
14;0;2;true
14;1;1;false
14;2;1;false
14;3;7;false
14;4;7;false
14;5;6;false
15;0;2;true
15;1;2;true
15;2;6;true
15;3;7;true
15;4;1;true
15;5;6;false
16;0;2;true
16;1;3;true
16;2;6;true
16;3;4;true
16;4;1;true
16;5;7;false
17;0;5;true
17;1;7;false
17;2;7;false
17;3;3;true
17;4;1;true
17;5;1;true
18;0;2;true
18;1;1;true
18;2;7;false
18;3;7;false
18;4;6;false
18;5;1;false
19;0;4;true
19;1;2;false
19;2;2;false
19;3;3;true
19;4;7;false
19;5;6;true
20;0;2;true
20;1;7;true
20;2;7;false
20;3;6;false
20;4;1;false
20;5;1;true
21;0;2;true
21;1;7;true
21;2;7;false
21;3;6;false
21;4;1;false
21;5;1;false
22;0;2;true
22;1;1;true
22;2;7;false
22;3;7;false
22;4;6;false
22;5;1;false
23;0;5;true
23;1;4;true
23;2;4;true
23;3;1;true
23;4;1;true
23;5;1;false
24;0;2;true
24;1;1;true
24;2;1;true
24;3;5;true
24;4;7;false
24;5;7;false
25;0;5;true
25;1;7;false
25;2;4;true
25;3;1;true
25;4;6;false
25;5;1;true
26;0;4;true
26;1;2;true
26;2;2;true
26;3;1;true
26;4;1;true
26;5;1;true
27;0;2;true
27;1;2;false
27;2;1;false
27;3;1;false
27;4;1;true
27;5;3;true
28;0;6;true
28;1;1;true
28;2;1;true
28;3;1;true
28;4;1;true
28;5;1;false
29;0;5;true
29;1;1;true
29;2;1;true
29;3;1;true
29;4;1;true
29;5;7;false
30;0;2;true
30;1;2;true
30;2;6;true
30;3;3;true
30;4;7;false
30;5;4;true
31;0;3;true
31;1;7;true
31;2;1;true
31;3;1;true
31;4;1;true
31;5;7;false
32;0;2;true
32;1;4;true
32;2;4;false
32;3;7;false
32;4;3;true
32;5;4;false
33;0;2;true
33;1;4;true
33;2;7;false
33;3;7;false
33;4;3;false
33;5;1;false
34;0;2;true
34;1;3;true
34;2;1;false
34;3;7;true
34;4;2;true
34;5;1;false
35;0;2;true
35;1;7;false
35;2;2;true
35;3;7;false
35;4;5;true
35;5;1;true
36;0;3;true
36;1;1;true
36;2;7;true
36;3;2;true
36;4;7;true
36;5;4;false
37;0;2;true
37;1;1;true
37;2;7;false
37;3;2;true
