pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
0;1;0;S4;S2;R1;S3;NA;0.95409024869334992177710393782832005;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
0;1;0;S4;S4;S4;I understand;0.110401023431700227633907345099262855;0.044415657644670798561969074588896926;2.629927504143322672413647083045100381458;1.40390455878949729847733055691867990182;1.22449838137954025047742906262116297543378;1.55521923485848774153265796756842311032
0;2;0;R1;S3;R1;I understand;NA;0.00571240687006372847169460147518555026;1.40390455878949729847733055691867990182;1.40390455878949729847733055691867990182;0E-38;0E-38
0;3;0;S4;S4;S4;I understand;NA;0.044415657644670798561969074588896926;1.40390455878949729847733055691867990182;1.40390455878949729847733055691867990182;0E-38;0E-38
0;4;0;R2;S1;R2;I understand;NA;0.024368372214251586438402216216150540;1.40390455878949729847733055691867990182;1.40390455878949729847733055691867990182;0E-38;0E-38
0;5;0;S4;S4;S4;I understand;NA;0.044415657644670798561969074588896926;1.40390455878949729847733055691867990182;1.40390455878949729847733055691867990182;0E-38;0E-38
1;0;0;R1;S3;R1;I understand;NA;0.110401023431700227633907345099262855;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
1;1;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
1;2;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
1;3;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
1;4;0;R1;S3;R1;I understand;NA;0.110401023431700227633907345099262855;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
1;5;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
2;0;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
2;1;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
2;2;0;R1;S3;R1;I understand;NA;0.110401023431700227633907345099262855;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
2;3;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
2;4;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
2;5;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
3;0;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
3;1;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
3;2;0;R1;S3;R1;I understand;NA;0.110401023431700227633907345099262855;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
3;3;0;R1;S3;R1;I understand;NA;0.110401023431700227633907345099262855;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
3;4;0;R1;S3;R1;I understand;NA;0.110401023431700227633907345099262855;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
3;5;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
4;0;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
4;1;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
4;2;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
4;3;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
4;4;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
4;5;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
5;0;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
5;1;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
5;2;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
5;3;0;S4;S4;S4;I understand;NA;0.031974352364450123721970161601937178;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
5;4;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
5;5;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
6;0;0;R1;S3;R1;I understand;NA;0.110401023431700227633907345099262855;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
6;1;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
6;2;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
6;3;0;R2;S1;R2;I understand;NA;0.017710447092981757133436951928579326;2.629927504143322672413647083045100381458;2.629927504143322672413647083045100381458;0E-40;0E-40
