pair;round;nrTurns;success
0;0;1;true
0;1;1;true
0;2;1;true
0;3;7;true
0;4;7;true
0;5;1;true
1;0;2;true
1;1;1;true
1;2;1;true
1;3;7;false
1;4;4;true
1;5;2;false
2;0;7;true
2;1;7;true
2;2;1;true
2;3;1;false
2;4;1;true
2;5;1;true
3;0;7;false
3;1;7;false
3;2;3;true
3;3;1;true
3;4;1;true
3;5;1;true
4;0;7;true
4;1;7;false
4;2;2;false
4;3;1;false
4;4;1;false
4;5;1;true
5;0;1;true
5;1;7;false
5;2;7;false
5;3;1;true
5;4;3;false
5;5;1;false
6;0;7;true
6;1;6;false
6;2;1;false
6;3;1;false
6;4;1;false
6;5;1;true
7;0;2;true
7;1;1;true
7;2;1;true
7;3;1;true
7;4;7;false
7;5;6;false
8;0;2;true
8;1;1;true
8;2;1;true
8;3;7;true
8;4;7;false
8;5;1;false
9;0;7;false
9;1;7;true
9;2;1;false
9;3;1;true
9;4;1;false
9;5;1;false
10;0;1;true
10;1;7;true
10;2;7;false
10;3;2;false
10;4;1;false
10;5;1;false
11;0;7;false
11;1;1;true
11;2;1;true
11;3;7;false
11;4;2;true
11;5;1;false
12;0;7;true
12;1;7;false
12;2;3;false
12;3;1;false
12;4;1;false
12;5;1;true
13;0;7;false
13;1;7;true
13;2;1;false
13;3;1;false
13;4;1;false
13;5;1;false
14;0;1;true
14;1;2;true
14;2;1;true
14;3;1;true
14;4;1;true
14;5;1;true
15;0;2;true
15;1;1;true
15;2;1;true
15;3;1;true
15;4;1;true
15;5;7;false
16;0;7;false
16;1;7;false
16;2;2;true
16;3;1;true
16;4;1;false
16;5;1;false
17;0;7;true
17;1;7;false
17;2;1;false
17;3;1;false
17;4;1;false
17;5;1;false
18;0;7;true
18;1;7;true
18;2;1;true
18;3;1;true
18;4;3;false
18;5;1;false
19;0;1;true
19;1;7;false
19;2;1;true
19;3;1;true
19;4;2;true
19;5;7;true
20;0;7;true
20;1;1;false
20;2;7;true
20;3;1;true
20;4;1;true
20;5;1;false
21;0;1;true
21;1;7;true
21;2;1;false
21;3;7;true
21;4;1;false
21;5;1;false
22;0;1;true
22;1;1;true
22;2;2;true
