pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S4;S4;S1;NA;1.2525765781606179479313103200766212;5.7280671935221661839470484883857176903752011628572065753012448357116549282;5.7280671935221661839470484883857176903752011628572065753012448357116549282;0E-75;0E-75
0;0;0;R2;S4;R2;S4;1.4859669408707625832477327586063095;1.09172110991636473411556622450357601;5.7280671935221661839470484883857176903752011628572065753012448357116549282;4.311522272499336464356779091846343923857477448813177643518467967278196;1.39706213471416585031565414021717506415900059173644491443205060401881508;0.98903376243734283639871577295111980761079404853862459489898580083269425
0;0;1;R2;S4;R2;S4;1.09172110991636473411556622450357601;1.005317316540084841588791861108977734;4.311522272499336464356779091846343923857477448813177643518467967278196;2.9435782947607464871764813645132860122165039760595505435609603791184;1.4801965055756583406755528863487694632564176975497044984347750580876282;0.5776385567592551048770122207945209195304241893753563136330878121520842
0;0;2;R2;S4;S4;S4;1.005317316540084841588791861108977734;1.0002367905620626528137857920522443027;2.9435782947607464871764813645132860122165039760595505435609603791184;2.79438045623575222700883730391981631910557014898118953198790402885;0.0847693500361453578552681780899123900252614315539342320199738031763;0.05347277942877977221412897207019695106914339966903943981796447398846
0;0;3;R2;S2;R2;S1;1.0002367905620626528137857920522443027;1.5843990498178207424456266697745871;2.79438045623575222700883730391981631910557014898118953198790402885;2.710094407989993571420741517715920671133274057786883786792352493;0.04172696189801244896610474539111299950865053246135731872431166;0.0426449778905018068425333179981123617076552247415083825245844822
0;0;4;R2;S1;R2;S4;1.4772784564032311051715169848749929;1.5514986543399699817801521614330292;2.710094407989993571420741517715920671133274057786883786792352493;2.779192754097921975015813021073371941736571155481416265302637;0.405141805951414525752118574608523451685127902908786901665362660;0.379260813404470826558692291514318425788689488056778625973498438
0;0;5;R2;S1;NA;NA;1.00006234032303967589982282671657567126;NA;2.779192754097921975015813021073371941736571155481416265302637;NA;NA;NA
0;1;0;S4;S4;S4;S4;NA;1.00002025694855957146888442808398116390;2.7624557236462405937565749875532553431030118481477211322638;2.7624557236462405937565749875532553431030118481477211322638;0E-60;0E-60
0;1;0;S4;S4;R2;S4;1.00002025694855957146888442808398116390;1.0000009217150883668719726987848233192157;2.7624557236462405937565749875532553431030118481477211322638;2.74491977969512305392879103468555189844724203667709782795;0.02708077422115809959568456128434501096518524930974223274670;0.02731608097506363247372013108602200528115078762909190024360
0;1;1;S4;S1;R1;S2;1.0000009217150883668719726987848233192157;1.4844319564537187037454584383643283;2.74491977969512305392879103468555189844724203667709782795;2.680541094135974238382734901112180987201418639215926994;0.027473153446241489749723590336366343627383610542658528;0.0274397828730403293188779269558991950094797911786143132
0;1;2;S4;S3;R2;S1;1.5839986393583831870162555124438385;1.5079630302716425736763258278615189;2.680541094135974238382734901112180987201418639215926994;2.747961990528638044925667850791105748197661677235112;0.32648491328074769555836393221971105159361698284719622;0.31329858343365431483055175543035483304242782777937915
0;1;3;S4;S4;R2;S4;1.5613742629552099684662909637141700;1.00000007869505067131921151583222782375166;2.747961990528638044925667850791105748197661677235112;2.7310592251580958287828965408677394730483396009171;0.0391053818350523133032969097099614317381592229796580;0.033232273186794380851837310434555489449880891333453
0;1;4;S4;S1;R1;S3;1.00000007869505067131921151583222782375166;1.5212871193983242777765664971789206;2.7310592251580958287828965408677394730483396009171;2.73254539934220572542686926637184724601597670083;0.025029647588197692790950178282944440172871108908;0.025400061649102183344026796547473217001060785458
0;1;5;S4;S4;NA;NA;1.5711584765843953371054255701423889;NA;2.73254539934220572542686926637184724601597670083;NA;NA;NA
0;2;0;R1;S2;R1;S2;NA;1.5840276222044549720111385255920915;2.62170763105729931760904571743787629744579482;2.62170763105729931760904571743787629744579482;0E-46;0E-46
0;2;0;R1;S2;R1;S3;1.5840276222044549720111385255920915;1.5831238805799892564397481854193619;2.62170763105729931760904571743787629744579482;2.122477457116325280425963986604413771164908;1.318546063435708440587852168181223965093256467;0.78161741996923737203063506391805047703759584
0;2;1;R1;S3;S4;S3;1.2263965573686908610352821081845356;1.1509955301815057714170505925154701;2.122477457116325280425963986604413771164908;1.936216964998366407295101445486927411972;0.0353533564110474244251515591517825560126;0.0216040860255481891800378431580265574842
0;2;2;R1;S3;S4;S4;1.1509955301815057714170505925154701;1.1633854596668646978891715522194590;1.936216964998366407295101445486927411972;1.9625245785970380253974499144139550306;0.0025042990977905635194640306739834987245;0.0017446428491041603862633651776162787951
0;2;3;R1;S2;S4;S4;1.0000000000000000000000000000000000;1.5831615847843121904532296774737004;1.9625245785970380253974499144139550306;2.002872893780940402340888736899935949;0.00130054853925220823881721534254775926;0.00225917587000248210999960834800858154
0;2;4;R1;S3;R1;S3;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;2.002872893780940402340888736899935949;1.5751145914106571536187454571648991;-0.06881247531476067569938319067000566;0.07445390381122866596213227382168144
0;2;5;R1;S1;NA;NA;1.0000000000000000000000000000000000;NA;1.5751145914106571536187454571648991;NA;NA;NA
0;3;0;S4;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
0;4;0;R1;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
0;5;0;R2;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
1;0;0;R2;S4;R2;S4;NA;1.2525765781606179479313103200766212;5.7280671935221661839470484883857176903752011628572065753012448357116549282;5.7280671935221661839470484883857176903752011628572065753012448357116549282;0E-75;0E-75
1;0;0;R2;S4;R2;S1;1.2525765781606179479313103200766212;1.01644664455930383981271761217333733;5.7280671935221661839470484883857176903752011628572065753012448357116549282;3.379676989270639870690968021679807257453792021249315456707454871393433;3.337280619740191056428705935206883926797305112327944866094034586644643548;1.78650763562623756987435957467276152314642298884254784717342081737437957
1;0;1;R2;S2;R2;S1;1.5420650429011135841689696759138660;1.5834534682258886104208435431797779;3.379676989270639870690968021679807257453792021249315456707454871393433;2.9435782947607464871764813645132860122165039760595505435609603791184;0.163349138187074074029052472994583181372578379395465100542880873895082;0.0995565237393800391350944768270637836214314542828455733667161121230588
1;0;2;R2;S4;R2;S4;1.5143163855465074589053462810713923;1.01990315688497395076602190686348717;2.9435782947607464871764813645132860122165039760595505435609603791184;2.82146922635460394243726788566142451816458306561899678130908764205;0.34782800900306635129373868265920159433300811411178176272505101036390;0.3028302840452901543067510908177909978042304242109119686906279692117
1;0;3;R2;S4;R2;S4;1.01990315688497395076602190686348717;1.001198048099081243919628896802194410;2.82146922635460394243726788566142451816458306561899678130908764205;2.677511231579449131449315867918967772817776490043588487740769471;0.15666283089285279873701553933309060230519543601084891534024681;0.0689367407210880280787594562610832102933609644774172446498853122
1;0;4;R2;S2;R2;S4;1.001198048099081243919628896802194410;1.5834958040571905557858521106249943;2.677511231579449131449315867918967772817776490043588487740769471;2.779192754097921975015813021073371941736571155481416265302637;0.02888139021509964605216799886148802334326463872783236020161865;0.02802898965582104155171802090601854662838366915576808755194060
1;0;5;R2;S2;NA;NA;1.00006234032303967589982282671657567126;NA;2.779192754097921975015813021073371941736571155481416265302637;NA;NA;NA
1;1;0;R1;S2;S4;S4;NA;1.5831043985325172830472620202343440;2.3904936612336235630380064242632755049407050846056623229086;2.3904936612336235630380064242632755049407050846056623229086;0E-60;0E-60
1;1;0;R1;S1;R2;S4;1.00003471001392404172951887806755943219;1.5834820329287131540965853604741833;2.3904936612336235630380064242632755049407050846056623229086;2.09582130669099230937069718763586540339856373100772792370;0.0793243292831047149123850116487862121371111234896753203514;0.0508962951354171108950069704542493883982272866325510950041
1;1;1;R1;S3;R1;S3;1.00001490020390823260235753527473068072;1.2134582940331748371509028007653326;2.09582130669099230937069718763586540339856373100772792370;2.163620703461709243380045734572350373946642922566633468;0.004922017643122441905032275651073520961779250047254685;0.0051105327002533970855709775524067237068623164234638907
1;1;2;R1;S3;S4;S2;1.2134582940331748371509028007653326;1.2456414012773491838768189264499060;2.163620703461709243380045734572350373946642922566633468;2.173667017248549480913770916550365990963965606466567;0.046228446944212482946358109184950551299584495669235279;0.01956772736308802331836408267645342665275523640328554
1;1;3;R1;S3;S4;S4;1.5831821742921953044209254998867332;1.1566170274546837201111705361408554;2.173667017248549480913770916550365990963965606466567;1.9581173121886671837834533492997104891840668158143;0.042995247173945174799159158091237877679692325200801;0.026578476672431583866671621570887669950635823480619
1;1;4;R1;S3;S4;S3;1.0000003159131225482122898307824520533820;1.1715382879364400379030820929351806;1.9581173121886671837834533492997104891840668158143;2.00954763809919478054975658056419356024867708337;0.0023693427948549161177698426444035390584351177970;0.0029255211782404841993936546080801353574920212103
1;1;5;R1;S1;NA;NA;1.1715382879364400379030820929351806;NA;2.00954763809919478054975658056419356024867708337;NA;NA;NA
1;2;0;S4;S3;S4;S3;NA;1.1923804355719217844198879608062019;2.092093378489354513448318536257078138101112172;2.092093378489354513448318536257078138101112172;0E-46;0E-46
1;2;0;S4;S3;S4;S3;1.1923804355719217844198879608062019;1.2191660799797827011446018834062993;2.092093378489354513448318536257078138101112172;2.220274474728263607180461851284496698671207;0.01008367720036977694376282990416755855994319;0.01313937143394524144013107738119634197765678
1;2;1;S4;S4;R2;S1;1.2191660799797827011446018834062993;1.0000001230050474004863775708404723234118;2.220274474728263607180461851284496698671207;2.3979785641158694499339820272551460647814;0.022475439060663596607939179694898129962663;0.029295040138186631687167296072130911556416
1;2;2;S4;S4;R2;S2;1.5815923091746854514387977293777676;1.0000000000000000000000000000000000;2.3979785641158694499339820272551460647814;2.40564598807368773367858784284658562776;0.0321164363101345754677931891194041868009;0.0265692970587837946221871231496725147776
1;2;3;S4;S2;S4;S4;1.5832627971177472721576775431026164;1.5831738237492460925395755021355047;2.40564598807368773367858784284658562776;2.064211031129639165217366647551791002;0.0812336117289259095121150361261677433;0.0531462257271887107782177931528517923
1;2;4;S4;S3;R1;S3;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;2.064211031129639165217366647551791002;1.5751145914106571536187454571648991;-0.07746746839690901572929470580686308;0.08462975479992825421971071778118652
1;2;5;S4;S1;NA;NA;1.0000000000000000000000000000000000;NA;1.5751145914106571536187454571648991;NA;NA;NA
1;3;0;R2;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
