pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S2;R2;I understand;NA;0.19844777803801694466413021590100164;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
0;1;0;S4;S3;R2;I understand;NA;0.7443293518403076482761341340044396863;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
0;2;0;S4;S4;S4;I understand;NA;0.652499269343575026279585492456030923;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
0;3;0;R2;S2;R2;I understand;NA;0.19844777803801694466413021590100164;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
0;4;0;R2;S2;R2;I understand;NA;0.19844777803801694466413021590100164;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
0;5;0;R1;S4;S4;I understand;NA;0.652499269343575026279585492456030923;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
1;0;0;S4;S4;S4;I understand;NA;0.652499269343575026279585492456030923;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
1;1;0;S4;S3;S4;I understand;NA;0.7443293518403076482761341340044396863;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
1;2;0;R2;S2;R2;I understand;NA;0.19844777803801694466413021590100164;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
1;3;0;S4;S4;S4;I understand;NA;0.652499269343575026279585492456030923;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
1;4;0;R2;S2;R2;I understand;NA;0.19844777803801694466413021590100164;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
1;5;0;S4;S4;S4;I understand;NA;0.652499269343575026279585492456030923;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
2;0;0;S4;S3;S4;I understand;NA;0.7443293518403076482761341340044396863;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
2;1;0;R1;S1;R1;S4;NA;0.83814192616351027268408607280035568;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
2;1;0;R1;S1;R2;S2;0.652499269343575026279585492456030923;0.8622624642080508755144278456198110420;2.7064289632273311758447514818823377677604;1.51929325313699961328447137243655053875;0.85801808178787949741330687866203673125804;1.19910079531037184648121603271321692839
2;1;1;R1;S1;R1;S1;0.8901923503275336417101304860881764;1.0001122820510479894196432825224345655;1.51929325313699961328447137243655053875;0.921739186507253560984059901653125965;-0.22089699002378262193681843487180485729;0.3260463473107607341658963708534813523
2;1;2;R1;S1;R2;S1;1.0001122820510479894196432825224345655;1.0000001515590859148842520423375263069239;0.921739186507253560984059901653125965;0.435928223863967244746738588234646838992;0.235639778298456828818532530571635045;0.091325396490599646949707364770753397245
2;1;3;R1;S1;R2;S1;1.0000001515590859148842520423375263069239;1.0000000001736735433445924425402017589293731;0.435928223863967244746738588234646838992;0.394121976837192063716628843598041109358985;0.010605315256269893338826232486755705312;0.003975540886083548199060398624474225657426
2;1;4;R1;S1;R1;S4;1.0000000001736735433445924425402017589293731;1.0000000000001845445510762840542991677223950626;0.394121976837192063716628843598041109358985;0.39141231971490085484519663051883798065479753;0.000457669541562236360540480225546336991498;0.000172648986075393798516438017738854400745488
2;1;5;R1;S1;NA;NA;1.0000001549033964350761131488431352469369;NA;0.39141231971490085484519663051883798065479753;NA;NA;NA
2;2;0;S4;S2;R2;S3;NA;1.1956215189909966118741219858148403;0.39125254517542854509349795917307138174974947240;0.39125254517542854509349795917307138174974947240;0E-48;0E-48
2;2;0;S4;S4;R1;S1;1.000000001577474194906244792230767380685155;1.000000001888485873674124876175796244486814;0.39125254517542854509349795917307138174974947240;0.3912558580564794695982316709245948761328107727;3.00068494465159083713648381269376763872743E-8;3.3225961464343687793880738131487520108769E-8
2;2;1;S4;S2;R2;S2;1.000000000000002065866332801814058579598543177146;1.1956217654175146856188191872832707;0.3912558580564794695982316709245948761328107727;0.3912442254720391039491139684705346189403202306687;0.00000121840920222303050635523091793633019828493;4.5887223483024226384042282721567062408532556E-7
2;2;2;S4;S3;S4;S3;1.1956217654175146856188191872832707;1.0000000007907047859511717289186026912069474;0.3912442254720391039491139684705346189403202306687;0.39126706577671458194436673240416927162583658606;0.00000100540472902608314500890376368288032033021941;0.000003188126682932188650739386519566914207908863
2;2;3;S4;S4;S4;S2;1.0000000007907047859511717289186026912069474;1.00000000003374687130541042150256184063153629;0.39126706577671458194436673240416927162583658606;0.391244843949643175063014583823072481397859222924;0.000002443758948188505829918559645758169173350730;9.221376728054962969754390591788855875548538E-7
2;2;4;S4;S3;R2;S1;1.1956217488506863938602661700020023;1.0000000000000000000000000000000000;0.391244843949643175063014583823072481397859222924;0.3912435640665001361928680896179604806212637;-5.025111397294084477893692631590412415E-8;5.032396124987605638233888377667974742E-8
2;2;5;S4;S3;NA;NA;1.0000000000000000000000000000000000;NA;0.3912435640665001361928680896179604806212637;NA;NA;NA
2;3;0;R1;S1;R2;S2;NA;1.0000000000000000000000000000000000;0.39124356365305664637526974420524975303351991;0.39124356365305664637526974420524975303351991;0E-46;0E-46
2;3;0;R1;S4;R1;S4;1.1956217818143001059842024730588365;1.0000000000000000000000000000000000;0.39124356365305664637526974420524975303351991;0.3912435636352633326260017537480535;-5.67325033086098774846327234916958E-13;5.67325033124339760231948501696446E-13
2;3;1;R1;S1;R1;S1;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.3912435636352633326260017537480535;0.3912435578619141349308946075139715;1.8262569542495818862620403E-17;1.8262569425670054405442626E-17
2;3;2;R1;S1;R2;S3;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.3912435578619141349308946075139715;0.3912446709573310306721491827887045;6.788451365810627346043775436E-13;6.788459738244346900732846552E-13
2;3;3;R1;S1;R1;S1;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.3912446709573310306721491827887045;0.3913286053591196081089118254467687;3.85978402240997615620581209892E-9;3.86014296680545943970214009622E-9
2;3;4;R1;S1;R1;S1;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.3913286053591196081089118254467687;0.32984607020714642332007679144808867;0.00217090750245843239180655392104010;0.00201669188601600293398001043494803
2;3;5;R1;S1;NA;NA;1.0000000000000000000000000000000000;NA;0.32984607020714642332007679144808867;NA;NA;NA
2;4;0;S4;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
2;5;0;S4;S1;R1;I understand;NA;0.0;0.0;0.0;0.0;0.0
3;0;0;R2;S1;R1;S1;NA;0.83814192616351027268408607280035568;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
3;0;0;R2;S2;R2;I understand;0.83814192616351027268408607280035568;0.14451801458119395351832292598234753;2.7064289632273311758447514818823377677604;0.491087927278753793135586924280312734455;3.34374240347789090520195880930122377112539;1.813447760671911727390780386338654526992
3;1;0;S4;S4;S4;S4;NA;1.001015833675255544692997330032405344;0.491087927278753793135586924280312734455;0.491087927278753793135586924280312734455;0E-39;0E-39
3;1;0;S4;S4;S4;S4;1.001015833675255544692997330032405344;0.875354906843470671466377585106271178125;0.491087927278753793135586924280312734455;1.5496171639451975044796755204794797795;1.757411057256591440627792415704388509587;2.350112643180675135605732385800436428636
3;1;1;S4;S4;S4;I understand;0.875354906843470671466377585106271178125;0.2791944216265651815983487961396008501535995;1.5496171639451975044796755204794797795;0.72216710238868583508036884221492681525195;1.26554098288968240524738441734781610430;0.82546849820845138078581236122022900147031
3;2;0;S4;S4;S4;I understand;NA;0.2791944216265651815983487961396008501535995;0.72216710238868583508036884221492681525195;0.72216710238868583508036884221492681525195;0E-42;0E-42
3;3;0;R1;S1;R1;S1;NA;0.9999942062299187046156183151105315821767;0.72216710238868583508036884221492681525195;0.72216710238868583508036884221492681525195;0E-42;0E-42
3;3;0;R1;S1;R1;S1;0.9999942062299187046156183151105315821767;0.9972110732015602079379184704754794175612568;0.72216710238868583508036884221492681525195;0.91226140048853963053222167570534027152603;1.856367578726942149680853230893118114563441;1.5497946376390929593937734385238324216600324
3;3;1;R1;S1;R1;S1;0.9972110732015602079379184704754794175612568;0.8217784705320795439073206564777925825938255424;0.91226140048853963053222167570534027152603;1.18749311797003299877093841767209122825930640;0.507580358878465668732599932917455029620888;0.580554382824610582691831559602487050404255821
3;3;2;R1;S1;R1;I understand;0.8217784705320795439073206564777925825938255424;0.21718803527365814428407911212075619646339288040423;1.18749311797003299877093841767209122825930640;0.585828303551870582883388427233342043482641825746;0.803501380027881438569423537188114275533099999;0.6376559139816328989935610984301511103826550584497
3;4;0;R1;S1;R2;I understand;NA;0.21718803527365814428407911212075619646339288040423;0.585828303551870582883388427233342043482641825746;0.585828303551870582883388427233342043482641825746;0E-50;0E-50
3;5;0;R2;S2;R2;I understand;NA;0.23074300368581602333978900925130646;0.585828303551870582883388427233342043482641825746;0.585828303551870582883388427233342043482641825746;0E-50;0E-50
4;0;0;R1;S1;R2;S2;NA;0.83814192616351027268408607280035568;2.7064289632273311758447514818823377677604;2.7064289632273311758447514818823377677604;0E-41;0E-41
4;0;0;R1;S1;R2;S2;0.19844777803801694466413021590100164;1.006377204645519170543555648716705088;2.7064289632273311758447514818823377677604;2.32123208436752407184042865922819107151;0.04101464215247956821633073906939600785397;0.285686846675343506251267862602884613210
4;0;1;R1;S1;R2;S2;0.23727778906436540961010857559104291;1.001449613874713308352079172599037332;2.32123208436752407184042865922819107151;1.931882406932575381388385136293112407;0.1233201283915010656810045204606745755927;0.1010721247711618551709734429885039263
4;0;2;R1;S4;R1;S1;0.20962296773916472556144065813331440;1.04517515997940033643587400975822452;1.931882406932575381388385136293112407;1.588275519671334228874280192892232451;0.0625670091364776507105220922072182465;0.04800501965706369377988432719429499816
4;0;3;R1;S4;R1;S4;1.0002979470150585370992800655388084740;1.001528988212174137093160730907521724;1.588275519671334228874280192892232451;1.0645831732155992023631429526319373728;1.23834152924948494534724445440098223810;1.21520412575541109571144832079740442933
4;0;4;R1;S1;R2;S3;1.001528988212174137093160730907521724;1.0000003455146978197575366732674571631294;1.0645831732155992023631429526319373728;0.50002280961335726189220155358256635698;0.39840974622541518585775563768185858935;0.165172867120845137147582308777303804821
4;0;5;R1;S4;NA;NA;1.00001958086346718591792640005931735560;NA;0.50002280961335726189220155358256635698;NA;NA;NA
4;1;0;R1;S1;R1;S1;NA;1.000000002806656564559349029429569680402276;0.3970977009715492972502277457826094389734;0.3970977009715492972502277457826094389734;0E-42;0E-42
4;1;0;R1;S1;R1;S4;1.000000002806656564559349029429569680402276;1.000000000003060182582029896324618132261291058;0.3970977009715492972502277457826094389734;0.3915611719228713451145051209967444658302791;0.00106107001962023184668626938458111749621;0.00038289210398433232329312127955181759156619
4;1;1;R1;S4;S4;S3;1.000000007478149232329577598033824238979299;1.00000000005796593714223822646642145075269206;0.3915611719228713451145051209967444658302791;0.391268410087113198699189686660330703190190327;0.00003876195101521531944448228834824158249256;0.0000147357144111198621382989094705939003683785
4;1;2;R1;S4;R1;S1;1.0000000005203800338455108072953173203906879;1.0000000000004389473069657829557156711184620317;0.391268410087113198699189686660330703190190327;0.39124446595585738694240454468400295258012084999;0.00000135130616077161287182690382240846414550114;0.000001001504231791525291262461573826520325909044
4;1;3;R1;S4;S4;S4;1.000000000000001189345948387591248561248995365983;1.000000000000003227112758047108221234592843469045;0.39124446595585738694240454468400295258012084999;0.3912436105837755531843772281974731170316208029211;7.5493139822682282302061182337764016780605E-8;2.856584598301909362325718062960691518647503E-8
4;1;4;R1;S1;R2;S2;1.000000000000003227112758047108221234592843469045;1.0000000000000000000000000000000000;0.3912436105837755531843772281974731170316208029211;0.3912435660189791064264199954537398067174514389;3.3458811747786377111714560585210152559E-9;1.26607203879306007478386599306496709281E-9
4;1;5;R1;S4;NA;NA;1.1956217817693999251311222083774126;NA;0.3912435660189791064264199954537398067174514389;NA;NA;NA
4;2;0;R2;S1;R1;S4;NA;1.0000000000000000000000000000000000;0.391243566969506478630236968836830797472831;0.391243566969506478630236968836830797472831;0E-44;0E-44
4;2;0;R2;S1;R2;S1;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.391243566969506478630236968836830797472831;0.3912435636352633326260017537480535;-9.7352975666675494716783937884630520E-11;9.7352975676191015717018567844179997E-11
4;2;1;R2;S1;R2;S1;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.3912435636352633326260017537480535;0.3912435578619141349308946075139715;1.8262569542495818862620403E-17;1.8262569425670054405442626E-17
4;2;2;R2;S3;S4;S3;1.0000000000000000000000000000000000;1.0000000000000000000000000000000000;0.3912435578619141349308946075139715;0.3912446709573310306721491827887045;6.788451365810627346043775436E-13;6.788459738244346900732846552E-13
